City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
87,Yar-Sale,RU,2021-07-28 17:57:17,66.8333,70.8333,44.73,96,70,4.7
88,Korla,CN,2021-07-28 17:57:17,41.7597,86.1469,89.92,23,39,7.14
89,Chuy,UY,2021-07-28 17:57:17,-33.6971,-53.4616,46.47,71,90,18.52
90,Arraial Do Cabo,BR,2021-07-28 17:57:18,-22.9661,-42.0278,73.36,94,90,12.66
91,Marawi,PH,2021-07-28 17:57:18,7.9986,124.2928,70.65,84,86,5.19
92,Am Timan,TD,2021-07-28 17:57:18,11.0297,20.2827,74.66,90,100,2.82
93,Nouadhibou,MR,2021-07-28 17:57:19,20.931,-17.0347,73.38,73,1,25.32
94,Kashi,CN,2021-07-28 17:57:19,39.4547,75.9797,88.23,23,45,0.76
95,Negombo,LK,2021-07-28 17:53:29,7.2083,79.8358,80.65,89,20,5.75
96,Dingle,PH,2021-07-28 17:57:20,10.9995,122.6711,77.76,84,100,8.34
97,Saint-Augustin,CA,2021-07-28 17:57:20,51.226,-58.6502,67.62,67,77,15.32
98,Salinas,US,2021-07-28 17:57:21,36.6777,-121.6555,79.03,77,40,5.7
99,Touros,BR,2021-07-28 17:57:21,-5.1989,-35.4608,86.9,65,22,16.93
100,Abu Samrah,SY,2021-07-28 17:57:21,35.3029,37.1841,86.56,25,0,16.17
101,Staroaleyskoye,RU,2021-07-28 17:57:22,51.0061,82.0,51.26,80,1,3.74
102,Cruzeiro Do Sul,BR,2021-07-28 17:57:22,-29.5128,-51.9853,50.52,56,24,13.71
103,Beloha,MG,2021-07-28 17:57:22,-25.1667,45.05,65.19,83,12,12.28
104,Paranaiba,BR,2021-07-28 17:57:23,-19.6772,-51.1908,66.49,37,47,14.47
105,Kumluca,TR,2021-07-28 17:57:23,36.3703,30.2869,88.79,39,0,7.18
106,Tucurui,BR,2021-07-28 17:57:24,-3.7661,-49.6725,94.51,31,9,4.41
